year,cluster,ref_cluster,predictor,coef,OR,CI_lo,CI_hi,p_value
2024,0,2,age,0.0742,1.077,,,
2024,0,2,parity,-0.1601,0.8521,,,
2024,0,2,married,0.0318,1.0324,,,
2024,0,2,distance_problem,0.0286,1.029,,,
2024,0,2,region,0.0305,1.031,,,
2024,0,2,residence_Rural,-0.0202,0.98,,,
2024,0,2,residence_Urban,0.0202,1.0204,,,
2024,0,2,wealth_quintile_Middle,0.0179,1.018,,,
2024,0,2,wealth_quintile_Poorer,-0.0325,0.968,,,
2024,0,2,wealth_quintile_Poorest,-0.033,0.9675,,,
2024,0,2,wealth_quintile_Richer,-0.0016,0.9984,,,
2024,0,2,wealth_quintile_Richest,0.0489,1.0501,,,
2024,0,2,education_Higher,0.0575,1.0591,,,
2024,0,2,education_No education,-0.0405,0.9603,,,
2024,0,2,education_Primary,0.0025,1.0025,,,
2024,0,2,education_Secondary,-0.0025,0.9975,,,
2024,1,2,age,-0.0446,0.9564,,,
2024,1,2,parity,0.1566,1.1695,,,
2024,1,2,married,0.0278,1.0282,,,
2024,1,2,distance_problem,-0.0428,0.9581,,,
2024,1,2,region,-0.0169,0.9832,,,
2024,1,2,residence_Rural,0.0372,1.0379,,,
2024,1,2,residence_Urban,-0.0372,0.9635,,,
2024,1,2,wealth_quintile_Middle,-0.0371,0.9636,,,
2024,1,2,wealth_quintile_Poorer,0.0526,1.054,,,
2024,1,2,wealth_quintile_Poorest,0.0462,1.0473,,,
2024,1,2,wealth_quintile_Richer,-0.0194,0.9808,,,
2024,1,2,wealth_quintile_Richest,-0.0432,0.9578,,,
2024,1,2,education_Higher,-0.0042,0.9958,,,
2024,1,2,education_No education,0.0437,1.0446,,,
2024,1,2,education_Primary,-0.0225,0.9778,,,
2024,1,2,education_Secondary,0.0029,1.0029,,,
