predictor,importance,year
parity,0.17976690998008452,2015
age,0.16562698622704014,2015
wealth_quintile_Richest,0.10596585374059507,2015
region,0.07596532773651268,2015
residence_Rural,0.06777893810804621,2015
residence_Urban,0.0649936856098572,2015
education_Secondary,0.061926081350403325,2015
distance_problem,0.05174664214511258,2015
wealth_quintile_Richer,0.038602648461935805,2015
education_Primary,0.037063310996119585,2015
wealth_quintile_Poorest,0.03414844612385202,2015
married,0.0340319662435095,2015
education_Higher,0.023404051636455297,2015
education_No education,0.02218602575441402,2015
wealth_quintile_Poorer,0.01846243601884497,2015
wealth_quintile_Middle,0.018330689867217056,2015
age,0.26886975200251495,2024
parity,0.16717696800466103,2024
region,0.09419056828299438,2024
married,0.05790950032485161,2024
distance_problem,0.05717184582570206,2024
education_Primary,0.04240928809611941,2024
wealth_quintile_Richest,0.0416760879765016,2024
wealth_quintile_Richer,0.037027580656814114,2024
wealth_quintile_Poorest,0.03585984505083736,2024
education_Secondary,0.03361591854110278,2024
wealth_quintile_Poorer,0.03273929385785797,2024
residence_Rural,0.030194692832713633,2024
wealth_quintile_Middle,0.028127014546590706,2024
residence_Urban,0.027199590139258392,2024
education_No education,0.02520123999072343,2024
education_Higher,0.02063081387075662,2024
